Date,D6,D5,D4,D3
12/15/2014,0.61,0.63,0.665,
12/16/2014,0.63,0.68,0.71,
12/17/2014,0.645,0.665,0.715,
12/18/2014,0.6525,0.675,0.765,
12/19/2014,0.6625,0.675,0.805,
12/22/2014,0.68,0.71,0.8075,
12/23/2014,0.71,0.735,0.85,
12/24/2014,0.715,0.735,0.845,
12/26/2014,0.71,0.735,0.845,
12/29/2014,0.71375,0.81,0.85,
12/30/2014,0.7225,0.81,0.87,
12/31/2014,0.7425,0.82,0.895,
1/2/2015,0.77,0.86,0.92,
1/5/2015,0.805,0.89,0.97,
1/6/2015,0.875,0.96,1.03,
1/7/2015,0.83,0.93,0.9825,
1/8/2015,0.76,0.895,0.95,
1/9/2015,0.755,0.895,0.955,
1/12/2015,0.7325,0.885,0.945,
1/13/2015,0.705,0.8625,0.94,
1/14/2015,0.6675,0.81,0.95,
1/15/2015,0.6625,0.82,0.965,
1/16/2015,0.625,0.805,0.94,
1/20/2015,0.63,0.76,0.945,
1/21/2015,0.655,0.76,0.94,
1/22/2015,0.6875,0.76,0.975,
1/23/2015,0.715,0.895,1.015,
1/26/2015,0.725,0.9,1.005,
1/27/2015,0.71,0.885,0.985,
1/28/2015,0.67,0.835,0.93,
1/29/2015,0.685,0.88,0.915,
1/30/2015,0.7225,0.88,0.9375,
2/2/2015,0.705,0.875,0.905,
2/3/2015,0.715,0.845,0.89,
2/4/2015,0.6975,0.85,0.9,
2/5/2015,0.7125,0.84,0.895,
2/6/2015,0.725,0.845,0.905,
2/9/2015,0.7275,0.83,0.9,
2/10/2015,0.725,0.825,0.8875,
2/11/2015,0.71,0.805,0.86,
2/12/2015,0.7075,0.8,0.8625,
2/13/2015,0.7175,0.8075,0.8675,
2/17/2015,0.7175,0.825,0.865,
2/18/2015,0.71375,0.815,0.85,
2/19/2015,0.715,0.815,0.86,
2/20/2015,0.7175,0.82,0.84,
2/23/2015,0.7225,0.815,0.85,
2/24/2015,0.72,0.805,0.8475,
2/25/2015,0.7225,0.795,0.84625,
2/26/2015,0.71375,0.8,0.84375,
2/27/2015,0.7,0.78,0.83,
3/2/2015,0.705,0.795,0.855,
3/3/2015,0.71,0.79,0.85,
3/4/2015,0.71,0.775,0.855,
3/5/2015,0.71,0.81,0.85,
3/6/2015,0.7,0.815,0.83,
3/9/2015,0.6925,0.805,0.8225,
3/10/2015,0.6975,0.785,0.82,
3/11/2015,0.6975,0.78,0.815,
3/12/2015,0.68,0.775,0.81,
3/13/2015,0.6675,0.775,0.795,
3/16/2015,0.665,0.765,0.7875,
3/17/2015,0.6525,0.765,0.7725,
3/18/2015,0.655,0.745,0.77,
3/19/2015,0.655,0.735,0.78,
3/20/2015,0.66625,0.745,0.785,
3/23/2015,0.67,0.76,0.79,
3/24/2015,0.675,0.77,0.8,
3/25/2015,0.6875,0.7925,0.825,0.64
3/26/2015,0.70625,0.79,0.82,0.64
3/27/2015,0.6875,0.78,0.8125,0.64
3/30/2015,0.6925,0.78,0.815,0.64
3/31/2015,0.68625,0.775,0.81,0.64
4/1/2015,0.68375,0.77,0.8025,0.64
4/2/2015,0.6825,0.765,0.805,0.64
4/6/2015,0.68125,0.7725,0.8125,0.64
4/7/2015,0.6825,0.775,0.815,0.64
4/8/2015,0.6825,0.775,0.8175,0.64
4/9/2015,0.685,0.78,0.82,0.64
4/10/2015,0.68625,0.79,0.83125,0.64
4/13/2015,0.6988,0.805,0.85,0.64
4/14/2015,0.725,0.82,0.865,0.64
4/15/2015,0.715,0.805,0.84,0.64
4/16/2015,0.71625,0.81,0.845,0.64
4/17/2015,0.7125,0.81,0.8425,0.64
4/20/2015,0.7075,0.7875,0.84,0.64
4/21/2015,0.70625,0.79,0.845,0.64
4/22/2015,0.7075,0.7775,0.8325,0.64
4/23/2015,0.7125,0.79,0.825,0.64
4/24/2015,0.715,0.775,0.825,0.64
4/27/2015,0.72125,0.78,0.8325,0.64
4/28/2015,0.7238,0.7675,0.8325,0.64
4/29/2015,0.725,0.79,0.8375,0.64
4/30/2015,0.7325,0.795,0.845,0.64
5/1/2015,0.74,0.805,0.85,0.64
5/4/2015,0.7475,0.81,0.855,0.64
5/5/2015,0.74875,0.815,0.855,0.64
5/6/2015,0.74625,0.81,0.8475,0.64
5/7/2015,0.7325,0.795,0.84,0.64
5/8/2015,0.73625,0.795,0.8425,0.64
5/11/2015,0.73125,0.81,0.84,0.64
5/12/2015,0.725,0.815,0.845,0.64
5/13/2015,0.72125,0.815,0.84625,0.64
5/14/2015,0.73,0.84,0.865,0.64
5/15/2015,0.74,0.84,0.8725,0.64
5/18/2015,0.73125,0.85,0.87375,0.64
5/19/2015,0.7275,0.845,0.8775,0.64
5/20/2015,0.7075,0.85,0.875,0.64
5/21/2015,0.6825,0.845,0.8675,0.64
5/22/2015,0.69,0.835,0.875,0.64
5/26/2015,0.6875,0.8325,0.8725,0.64
5/27/2015,0.6575,0.83,0.865,0.64
5/28/2015,0.5875,0.84,0.875,0.64
5/29/2015,0.5225,0.815,0.935,0.64
6/1/2015,0.4625,0.75,0.91,0.64
6/2/2015,0.405,0.715,0.895,0.64
6/3/2015,0.3825,0.75,0.875,0.64
6/4/2015,0.3963,0.77,0.865,0.64
6/5/2015,0.3775,0.75,0.875,0.64
6/8/2015,0.375,0.76,0.8725,0.64
6/9/2015,0.395,0.77,0.885,0.64
6/10/2015,0.4125,0.8,0.885,0.64
6/11/2015,0.44125,0.8,0.9,0.64
6/12/2015,0.4475,0.83,0.895,0.64
6/15/2015,0.45,0.81,0.895,0.64
6/16/2015,0.45875,0.82,0.9,0.64
6/17/2015,0.485,0.82,0.915,0.64
6/18/2015,0.4675,0.85,0.905,0.64
6/19/2015,0.445,0.82,0.885,0.64
6/22/2015,0.45125,0.81,0.87,0.64
6/23/2015,0.45875,0.805,0.865,0.64
6/24/2015,0.47,0.805,0.865,0.64
6/25/2015,0.46,0.84,0.865,0.64
6/26/2015,0.47,0.815,0.86,0.64
6/29/2015,0.46875,0.805,0.855,0.64
6/30/2015,0.46,0.785,0.83,0.64
7/1/2015,0.445,0.76,0.81,0.64
7/2/2015,0.445,0.745,0.81,0.64
7/6/2015,0.4475,0.755,0.82,0.64
7/7/2015,0.45125,0.77,0.82,0.64
7/8/2015,0.4575,0.77,0.82,0.64
7/9/2015,0.45875,0.765,0.815,0.64
7/10/2015,0.4575,0.755,0.8075,0.64
7/13/2015,0.4625,0.75,0.7875,0.64
7/14/2015,0.46,0.745,0.77,0.64
7/15/2015,0.4575,0.745,0.775,0.64
7/16/2015,0.455,0.74,0.76,0.64
7/17/2015,0.4475,0.725,0.75,0.64
7/20/2015,0.44125,0.715,0.7475,0.64
7/21/2015,0.4325,0.71,0.7425,0.64
7/22/2015,0.4325,0.71,0.7425,0.64
7/23/2015,0.42125,0.705,0.7375,0.64
7/24/2015,0.415,0.675,0.74,0.64
7/27/2015,0.4025,0.67,0.715,0.64
7/28/2015,0.3925,0.64,0.6975,0.64
7/29/2015,0.4,0.65,0.6975,0.64
7/30/2015,0.395,0.645,0.6875,0.64
7/31/2015,0.39,0.635,0.6725,0.64
8/3/2015,0.38125,0.63,0.67,0.64
8/4/2015,0.415,0.65,0.69,0.64
8/5/2015,0.41375,0.655,0.695,0.64
8/6/2015,0.405,0.665,0.69,0.64
8/7/2015,0.3925,0.6525,0.68,0.64
8/10/2015,0.395,0.65,0.675,0.64
8/11/2015,0.39,0.645,0.675,0.64
8/12/2015,0.39,0.635,0.6725,0.64
8/13/2015,0.3875,0.625,0.67,0.64
8/14/2015,0.39125,0.635,0.665,0.64
8/17/2015,0.39,0.63,0.66,0.64
8/18/2015,0.39375,0.62,0.6625,0.64
8/19/2015,0.3925,0.62,0.66,0.64
8/20/2015,0.39125,0.62,0.6575,0.64
8/21/2015,0.385,0.575,0.6125,0.64
8/24/2015,0.375,0.57,0.59,0.64
8/25/2015,0.37375,0.5675,0.585,0.64
8/26/2015,0.36875,0.555,0.555,0.64
8/27/2015,0.37,0.505,0.535,0.64
8/28/2015,0.38,0.51,0.5375,0.64
8/31/2015,0.38625,0.52,0.5325,0.64
9/1/2015,0.38,0.495,0.5025,0.64
9/2/2015,0.3625,0.4525,0.4725,0.64
9/3/2015,0.3575,0.4525,0.47,0.64
9/4/2015,0.34875,0.425,0.44,0.64
9/8/2015,0.3425,0.4125,0.4225,0.64
9/9/2015,0.3338,0.395,0.4125,0.64
9/10/2015,0.31125,0.38,0.3875,0.64
9/11/2015,0.2925,0.3775,0.385,0.64
9/14/2015,0.2875,0.35,0.385,0.64
9/15/2015,0.29,0.4175,0.42,0.64
9/16/2015,0.31,0.435,0.4425,0.64
9/17/2015,0.32,0.435,0.45,0.64
9/18/2015,0.3225,0.445,0.45625,0.64
9/21/2015,0.3263,0.4575,0.47,0.64
9/22/2015,0.335,0.48,0.495,0.64
9/23/2015,0.34125,0.47,0.4825,0.64
9/24/2015,0.34875,0.475,0.4825,0.64
9/25/2015,0.35625,0.4725,0.485,0.64
9/28/2015,0.355,0.46,0.48,0.64
9/29/2015,0.35375,0.47,0.4825,0.64
9/30/2015,0.35,0.4675,0.4775,0.64
10/1/2015,0.34625,0.455,0.465,0.64
10/2/2015,0.345,0.445,0.4625,0.64
10/5/2015,0.34,0.435,0.445,0.64
10/6/2015,0.3325,0.4275,0.435,0.64
10/7/2015,0.335,0.43,0.4375,0.64
10/8/2015,0.34,0.4425,0.4575,0.64
10/9/2015,0.3475,0.455,0.4725,0.64
10/12/2015,0.3525,0.47,0.48,0.64
10/13/2015,0.35625,0.465,0.48625,0.64
10/14/2015,0.355,0.4775,0.4925,0.64
10/15/2015,0.35875,0.485,0.505,0.64
10/16/2015,0.36,0.505,0.525,0.64
10/19/2015,0.3725,0.53,0.545,0.64
10/20/2015,0.3925,0.57,0.585,0.64
10/21/2015,0.405,0.5875,0.60625,0.64
10/22/2015,0.415,0.605,0.61,0.64
10/23/2015,0.4175,0.595,0.595,0.64
10/26/2015,0.405,0.555,0.5575,0.64
10/27/2015,0.3975,0.5325,0.5475,0.64
10/28/2015,0.395,0.525,0.545,0.64
10/29/2015,0.4,0.51,0.54,0.64
10/30/2015,0.39625,0.53,0.5375,0.64
11/2/2015,0.4,0.54,0.545,0.64
11/3/2015,0.4075,0.565,0.5675,0.64
11/4/2015,0.4075,0.57,0.5725,0.64
11/5/2015,0.41125,0.5725,0.575,0.64
11/6/2015,0.4125,0.575,0.575,0.64
11/9/2015,0.4175,0.5725,0.5775,0.64
11/10/2015,0.4175,0.5775,0.585,0.64
11/11/2015,0.41875,0.585,0.59,0.64
11/12/2015,0.4175,0.59,0.6025,0.64
11/13/2015,0.41875,0.595,0.61,0.64
11/16/2015,0.425,0.5925,0.625,0.64
11/17/2015,0.435,0.605,0.6375,0.64
11/18/2015,0.4375,0.6425,0.68,0.64
11/19/2015,0.435,0.6425,0.6925,0.64
11/20/2015,0.435,0.64,0.68,0.64
11/23/2015,0.43375,0.645,0.68,0.64
11/24/2015,0.41875,0.66,0.665,0.64
11/25/2015,0.4125,0.64,0.655,0.64
11/30/2015,0.5125,0.705,0.72,0.64
12/1/2015,0.805,0.835,0.875,0.64
12/2/2015,0.8025,0.825,0.865,0.64
12/3/2015,0.77,0.825,0.85,0.64
12/4/2015,0.7175,0.775,0.7925,0.64
12/7/2015,0.725,0.79,0.815,0.64
12/8/2015,0.705,0.785,0.8,0.64
12/9/2015,0.655,0.725,0.7325,0.64
12/10/2015,0.6825,0.74,0.76,0.64
12/11/2015,0.7,0.77,0.78,0.64
12/14/2015,0.735,0.79,0.805,0.64
12/15/2015,0.7375,0.7825,0.7975,0.64
12/16/2015,0.68,0.7125,0.725,0.64
12/17/2015,0.6575,0.705,0.715,0.64
12/18/2015,0.68,0.71,0.735,0.64
12/21/2015,0.69875,0.735,0.75,0.64
12/22/2015,0.7075,0.7275,0.735,0.64
12/23/2015,0.7175,0.715,0.735,0.64
12/24/2015,0.7,0.715,0.725,0.64
12/28/2015,0.7,0.71,0.715,0.64
12/29/2015,0.6975,0.71,0.715,0.64
12/30/2015,0.6975,0.7125,0.715,0.64
12/31/2015,0.695,0.7125,0.72,0.64
1/4/2016,0.705,0.72125,0.735,0.64
1/5/2016,0.71,0.7275,0.7525,0.64
1/6/2016,0.7025,0.73,0.74375,0.64
1/7/2016,0.695,0.725,0.74,0.64
1/8/2016,0.69125,0.72,0.735,0.64
1/11/2016,0.685,0.725,0.735,0.64
1/12/2016,0.68,0.7225,0.735,0.64
1/13/2016,0.6775,0.715,0.725,0.64
1/14/2016,0.67125,0.7125,0.7225,0.64
1/15/2016,0.665,0.71,0.7175,0.64
1/19/2016,0.6575,0.6975,0.715,0.64
1/20/2016,0.65,0.695,0.71,0.64
1/21/2016,0.64375,0.69,0.705,0.64
1/22/2016,0.635,0.69,0.7,0.64
1/25/2016,0.63375,0.6875,0.705,0.64
1/26/2016,0.6375,0.69,0.7075,0.64
1/27/2016,0.6475,0.69,0.70125,0.64
1/28/2016,0.675,0.72,0.735,0.64
1/29/2016,0.6775,0.73,0.74625,0.64
2/1/2016,0.68125,0.735,0.755,0.64
2/2/2016,0.68625,0.7325,0.765,0.64
2/3/2016,0.7,0.7425,0.77,0.64
2/4/2016,0.7025,0.7475,0.7675,0.64
2/5/2016,0.71,0.7525,0.775,0.64
2/8/2016,0.7075,0.7475,0.7675,0.64
2/9/2016,0.7125,0.7525,0.7775,0.64
2/10/2016,0.71375,0.7475,0.7775,0.64
2/11/2016,0.7175,0.755,0.7825,0.64
2/12/2016,0.72625,0.765,0.7875,0.64
2/16/2016,0.73,0.765,0.785,0.64
2/17/2016,0.725,0.7475,0.7725,0.64
2/18/2016,0.715,0.755,0.775,0.64
2/19/2016,0.72375,0.765,0.78,0.64
2/22/2016,0.7325,0.77,0.79,0.64
2/23/2016,0.7325,0.775,0.785,0.64
2/24/2016,0.7425,0.77875,0.7975,0.64
2/25/2016,0.7575,0.7775,0.8025,0.64
2/26/2016,0.7525,0.7825,0.8025,0.64
2/29/2016,0.74375,0.78,0.795,0.64
3/1/2016,0.74,0.7725,0.785,1.32
3/2/2016,0.72875,0.7675,0.7825,1.33
3/3/2016,0.7125,0.7525,0.78,1.34
3/4/2016,0.7175,0.765,0.78,1.345
3/7/2016,0.715,0.7625,0.77375,1.345
3/8/2016,0.7,0.7375,0.76,1.34
3/9/2016,0.7125,0.74875,0.7725,1.34
3/10/2016,0.71625,0.765,0.7875,1.34
3/11/2016,0.7025,0.76,0.775,1.34
3/14/2016,0.71125,0.7575,0.7775,1.34
3/15/2016,0.7175,0.7525,0.7775,1.325
3/16/2016,0.72,0.75,0.785,1.325
3/17/2016,0.725,0.75,0.7875,1.325
3/18/2016,0.73,0.765,0.7888,1.325
3/21/2016,0.73375,0.765,0.79,1.325
3/22/2016,0.7325,0.755,0.8,1.325
3/23/2016,0.73,0.755,0.7975,1.325
3/24/2016,0.73125,0.755,0.7975,1.325
3/28/2016,0.73,0.76,0.8025,1.325
3/29/2016,0.7375,0.765,0.8025,1.325
3/30/2016,0.735,0.77,0.8,1.325
3/31/2016,0.73,0.7675,0.805,1.32
4/1/2016,0.72375,0.7875,0.8175,1.32
4/4/2016,0.71875,0.79,0.8125,1.3
4/5/2016,0.715,0.79,0.81625,1.27
4/6/2016,0.72,0.805,0.825,1.27
4/7/2016,0.73,0.82,0.84,1.28
4/8/2016,0.735,0.82,0.845,1.28
4/11/2016,0.7388,0.82,0.84,1.28
4/12/2016,0.73,0.8125,0.83,1.28
4/13/2016,0.715,0.8,0.815,1.28
4/14/2016,0.7325,0.815,0.8225,1.28
4/15/2016,0.73375,0.81,0.835,1.28
4/18/2016,0.73625,0.805,0.8275,1.28
4/19/2016,0.74,0.8275,0.85,1.28
4/20/2016,0.745,0.8175,0.85,1.265
4/21/2016,0.7525,0.82,0.86,1.265
4/22/2016,0.75,0.81,0.85,1.265
4/25/2016,0.75,0.81875,0.85375,1.28
4/26/2016,0.745,0.81,0.845,1.28
4/27/2016,0.7425,0.785,0.83,1.28
4/28/2016,0.7325,0.77,0.8225,1.28
4/29/2016,0.7325,0.765,0.8125,1.26
5/2/2016,0.7325,0.7775,0.8125,1.26
5/3/2016,0.74125,0.7825,0.8175,1.26
5/4/2016,0.745,0.785,0.81875,1.26
5/5/2016,0.745,0.785,0.8225,1.255
5/6/2016,0.745,0.785,0.8225,1.255
5/9/2016,0.745,0.785,0.8175,1.255
5/10/2016,0.74875,0.785,0.82125,1.255
5/11/2016,0.75,0.79,0.8225,1.25
5/12/2016,0.7525,0.7975,0.82375,1.25
5/13/2016,0.7525,0.79,0.825,1.25
5/16/2016,0.75125,0.79,0.82375,1.25
5/17/2016,0.74125,0.79,0.82125,1.25
