Date,RUS3000
1/3/2000,2909.8899
1/4/2000,2795.3601
1/5/2000,2802.51
1/6/2000,2784.4199
1/7/2000,2878.48
1/10/2000,2922.8799
1/11/2000,2878.55
1/12/2000,2867.8899
1/13/2000,2913.1799
1/14/2000,2945.99
1/18/2000,2931.6499
1/19/2000,2943.3
1/20/2000,2929.6599
1/21/2000,2926.6001
1/24/2000,2850.3201
1/25/2000,2863.04
1/26/2000,2851.6399
1/27/2000,2841.45
1/28/2000,2767.99
1/31/2000,2821.3401
2/1/2000,2856.2
2/2/2000,2858.22
2/3/2000,2894.3899
2/4/2000,2892.98
2/7/2000,2899.3101
2/8/2000,2932.9199
2/9/2000,2878.45
2/10/2000,2890.6499
2/11/2000,2838.1001
2/14/2000,2842.9099
2/15/2000,2864.8401
2/16/2000,2846.24
2/17/2000,2851.95
2/18/2000,2774.03
2/22/2000,2781.9099
2/23/2000,2813.28
2/24/2000,2808.1101
2/25/2000,2773.9399
2/28/2000,2797.52
2/29/2000,2847.49
3/1/2000,2877.8899
3/2/2000,2877.1799
3/3/2000,2941.29
3/6/2000,2913.52
3/7/2000,2843.49
3/8/2000,2861.51
3/9/2000,2930.99
3/10/2000,2920.24
3/13/2000,2885.0801
3/14/2000,2827.26
3/15/2000,2870.27
3/16/2000,3007.23
3/17/2000,3021.97
3/20/2000,2985.9399
3/21/2000,3055.28
3/22/2000,3084.5601
3/23/2000,3135.3301
3/24/2000,3136.22
3/27/2000,3128.46
3/28/2000,3089.8101
3/29/2000,3074.72
3/30/2000,3033.6399
3/31/2000,3070.5601
4/3/2000,3055.78
4/4/2000,3028.25
4/5/2000,3023.74
4/6/2000,3059.1899
4/7/2000,3095.51
4/10/2000,3052.46
4/11/2000,3036.6799
4/12/2000,2968.6699
4/13/2000,2918.9399
4/14/2000,2743.1699
4/17/2000,2828.0901
4/18/2000,2915.1599
4/19/2000,2891.6101
4/20/2000,2898.8201
4/24/2000,2885.2
4/25/2000,2985.55
4/26/2000,2952.3999
4/27/2000,2969.45
4/28/2000,2962.3501
5/1/2000,2994.55
5/2/2000,2939.45
5/3/2000,2881.6001
5/4/2000,2878.6399
5/5/2000,2922.8101
5/8/2000,2900.76
5/9/2000,2871.6699
5/10/2000,2802.3999
5/11/2000,2862.1001
5/12/2000,2883.3799
5/15/2000,2944.45
5/16/2000,2977.72
5/17/2000,2939.7
5/18/2000,2913.3601
5/19/2000,2848.6101
5/22/2000,2834.47
5/23/2000,2777.55
5/24/2000,2824.52
5/25/2000,2788.3601
5/26/2000,2786
5/30/2000,2883.6599
5/31/2000,2879.1499
6/1/2000,2944.3301
6/2/2000,3015.3601
6/5/2000,2995.6299
6/6/2000,2973.27
6/7/2000,3002.3501
6/8/2000,2983.2
6/9/2000,2981.3301
6/12/2000,2950.5901
6/13/2000,2996.9199
6/14/2000,2994.24
6/15/2000,3010.78
6/16/2000,2986.1899
6/19/2000,3033
6/20/2000,3021.6799
6/21/2000,3025.22
6/22/2000,2972.72
6/23/2000,2946.4399
6/26/2000,2969.76
6/27/2000,2953.8
6/28/2000,2973.6899
6/29/2000,2947.26
6/30/2000,2964.3999
7/3/2000,2995.04
7/5/2000,2947.6399
7/6/2000,2972.2
7/7/2000,3015.95
7/10/2000,3012.3301
7/11/2000,3018.8201
7/12/2000,3049.6799
7/13/2000,3064.1899
7/14/2000,3090.47
7/17/2000,3096.3601
7/18/2000,3054.3501
7/19/2000,3026.3601
7/20/2000,3062.1899
7/21/2000,3026.28
7/24/2000,2992.3899
7/25/2000,3001.75
7/26/2000,2963.98
7/27/2000,2945.4399
7/28/2000,2881.04
7/31/2000,2912
8/1/2000,2919.4299
8/2/2000,2920.5
8/3/2000,2953.1699
8/4/2000,2976.3799
8/7/2000,3008.6299
8/8/2000,3011.5
8/9/2000,2995.6599
8/10/2000,2968.9299
8/11/2000,2998.27
8/14/2000,3036.76
8/15/2000,3023.47
8/16/2000,3023.6201
8/17/2000,3054.05
8/18/2000,3043.6001
8/21/2000,3055.4099
8/22/2000,3057.8601
8/23/2000,3077.75
8/24/2000,3088.6899
8/25/2000,3088.1599
8/28/2000,3103.76
8/29/2000,3098.9299
8/30/2000,3095.1299
8/31/2000,3127.96
9/1/2000,3140.0901
9/5/2000,3107.6299
9/6/2000,3073.75
9/7/2000,3101.97
9/8/2000,3077.3401
9/11/2000,3068.9199
9/12/2000,3054.3101
9/13/2000,3063.8501
9/14/2000,3065.3201
9/15/2000,3028.55
9/18/2000,2978.8601
9/19/2000,3016.9299
9/20/2000,3001.1699
9/21/2000,2971.1599
9/22/2000,3000.55
9/25/2000,2981.6499
9/26/2000,2956.45
9/27/2000,2958.5
9/28/2000,3020.47
9/29/2000,2986.3301
10/2/2000,2972.1499
10/3/2000,2939.96
10/4/2000,2958.96
10/5/2000,2957.53
10/6/2000,2898.79
10/9/2000,2886.3799
10/10/2000,2847.51
10/11/2000,2800.52
10/12/2000,2724.8301
10/13/2000,2826.76
10/16/2000,2832.25
10/17/2000,2780.25
10/18/2000,2759.79
10/19/2000,2856.28
10/20/2000,2878.97
10/23/2000,2881.05
10/24/2000,2878.6201
10/25/2000,2811.53
10/26/2000,2812.7
10/27/2000,2840.6799
10/30/2000,2868.77
10/31/2000,2943.8101
11/1/2000,2928.5
11/2/2000,2956.0601
11/3/2000,2954.8401
11/6/2000,2961.54
11/7/2000,2959.8701
11/8/2000,2906.4299
11/9/2000,2882.55
11/10/2000,2810.26
11/13/2000,2773.54
11/14/2000,2844.4399
11/15/2000,2861.9099
11/16/2000,2819.47
11/17/2000,2807.22
11/20/2000,2745.5701
11/21/2000,2749.77
11/22/2000,2694.9099
11/24/2000,2747.5801
11/27/2000,2757.04
11/28/2000,2718.6499
11/29/2000,2726.55
11/30/2000,2672.48
12/1/2000,2683.1101
12/4/2000,2694.73
12/5/2000,2812.4099
12/6/2000,2763.3401
12/7/2000,2750.0901
12/8/2000,2821.3601
12/11/2000,2851.1899
12/12/2000,2824.1101
12/13/2000,2796.71
12/14/2000,2750.3799
12/15/2000,2696.45
12/18/2000,2716.77
12/19/2000,2678.6799
12/20/2000,2587.9399
12/21/2000,2602.5
12/22/2000,2677.6001
12/26/2000,2695.1399
12/27/2000,2730.3401
12/28/2000,2750.6499
12/29/2000,2717.3899
1/2/2001,2625.45
1/3/2001,2763.01
1/4/2001,2728.3301
1/5/2001,2651.04
1/8/2001,2644.1799
1/9/2001,2656.21
1/10/2001,2692.8701
1/11/2001,2726.4099
1/12/2001,2713.27
1/16/2001,2731.5601
1/17/2001,2739.47
1/18/2001,2772.3501
1/19/2001,2756.02
1/22/2001,2757.5901
1/23/2001,2799.4099
1/24/2001,2807.6799
1/25/2001,2788.3501
1/26/2001,2785.7
1/29/2001,2809.25
1/30/2001,2828.6599
1/31/2001,2810.3501
2/1/2001,2822.6201
2/2/2001,2771.26
2/5/2001,2778.8
2/6/2001,2779.8999
2/7/2001,2755
2/8/2001,2737.8999
2/9/2001,2702.8301
2/12/2001,2734.77
2/13/2001,2710.03
2/14/2001,2708.3501
2/15/2001,2734.2
2/16/2001,2685.45
2/20/2001,2635.49
2/21/2001,2587.5601
2/22/2001,2578.01
2/23/2001,2568.6001
2/26/2001,2616.48
2/27/2001,2589.3899
2/28/2001,2553.5701
3/1/2001,2555.6399
3/2/2001,2545.26
3/5/2001,2559.77
3/6/2001,2586.1201
3/7/2001,2601.1201
3/8/2001,2600.6599
3/9/2001,2536.96
3/12/2001,2428.6899
3/13/2001,2468.3601
3/14/2001,2406.8601
3/15/2001,2415.9199
3/16/2001,2366.28
3/19/2001,2410.73
3/20/2001,2352.48
3/21/2001,2309.3601
3/22/2001,2298.8101
3/23/2001,2345.77
3/26/2001,2372.3201
3/27/2001,2430.1599
3/28/2001,2370.8799
3/29/2001,2359.6399
3/30/2001,2387.1101
4/2/2001,2351.28
4/3/2001,2268.3501
4/4/2001,2260.0801
4/5/2001,2362.8501
4/6/2001,2313.4299
4/9/2001,2334.23
4/10/2001,2400.3999
4/11/2001,2396.71
4/12/2001,2433.8
4/16/2001,2423.53
4/17/2001,2449.95
4/18/2001,2543.02
4/19/2001,2578.6001
4/20/2001,2555.99
4/23/2001,2514.28
4/24/2001,2486.1699
4/25/2001,2528.51
4/26/2001,2540.9399
4/27/2001,2580.1001
4/30/2001,2578.55
5/1/2001,2613.1399
5/2/2001,2619.8101
5/3/2001,2579.51
5/4/2001,2617.1101
5/7/2001,2608.72
5/8/2001,2606.04
5/9/2001,2594.02
5/10/2001,2591.6699
5/11/2001,2572.3401
5/14/2001,2577.3701
5/15/2001,2580.0801
5/16/2001,2653.1299
5/17/2001,2665.0701
5/18/2001,2671.8101
5/21/2001,2719.3999
5/22/2001,2714.1499
5/23/2001,2669.1101
5/24/2001,2679.1899
5/25/2001,2650.6101
5/29/2001,2625.0901
5/30/2001,2581.48
5/31/2001,2599.26
6/1/2001,2612.73
6/4/2001,2626.6299
6/5/2001,2664.53
6/6/2001,2638.3301
6/7/2001,2652.98
6/8/2001,2627.3899
6/11/2001,2603.99
6/12/2001,2605.04
6/13/2001,2577.75
6/14/2001,2530.0601
6/15/2001,2519.8799
6/18/2001,2506.5801
6/19/2001,2512.3999
6/20/2001,2538.49
6/21/2001,2564.5701
6/22/2001,2538.3401
6/25/2001,2523.4399
6/26/2001,2521.8501
6/27/2001,2514.9199
6/28/2001,2548.46
6/29/2001,2551.3301
7/2/2001,2567.8201
7/3/2001,2563.1001
7/5/2001,2531.9199
7/6/2001,2473.71
7/9/2001,2488.4099
7/10/2001,2452.26
7/11/2001,2447.52
7/12/2001,2506.3999
7/13/2001,2520.6899
7/16/2001,2491.54
7/17/2001,2517.97
7/18/2001,2501.8301
7/19/2001,2515.26
7/20/2001,2507.8999
7/23/2001,2469.5601
7/24/2001,2427.5901
7/25/2001,2461.6101
7/26/2001,2491.4299
7/27/2001,2498.45
7/30/2001,2496.23
7/31/2001,2509.28
8/1/2001,2521.96
8/2/2001,2531.3999
8/3/2001,2519.6599
8/6/2001,2490.53
8/7/2001,2496.97
8/8/2001,2454.27
8/9/2001,2453.8899
8/10/2001,2467.05
8/13/2001,2472.48
8/14/2001,2465.23
8/15/2001,2447.4199
8/16/2001,2453.23
8/17/2001,2414
8/20/2001,2431.79
8/21/2001,2403.1399
8/22/2001,2421.0801
8/23/2001,2414.28
8/24/2001,2458.73
8/27/2001,2448.47
8/28/2001,2413.1699
8/29/2001,2389.21
8/30/2001,2351.3201
8/31/2001,2361.1399
9/4/2001,2359.97
9/5/2001,2353.6201
9/6/2001,2303.0701
9/7/2001,2261.1699
9/10/2001,2270.75
9/11/2001,2270.76
9/12/2001,2271.1299
9/13/2001,2271.48
9/14/2001,2271.49
9/17/2001,2159.4199
9/18/2001,2141.6499
9/19/2001,2106.5601
9/20/2001,2041.1
9/21/2001,2001.46
9/24/2001,2077.6799
9/25/2001,2094.3301
9/26/2001,2081.25
9/27/2001,2105.2
9/28/2001,2152.8301
10/1/2001,2144.6101
10/2/2001,2169.21
10/3/2001,2216.4099
10/4/2001,2213.7
10/5/2001,2214.0901
10/8/2001,2196.79
10/9/2001,2185.47
10/10/2001,2236.8999
10/11/2001,2274.8501
10/12/2001,2262.45
10/15/2001,2259.8701
10/16/2001,2277.54
10/17/2001,2232.3501
10/18/2001,2214.9099
10/19/2001,2226.6201
10/22/2001,2260.0701
10/23/2001,2248.4199
10/24/2001,2249.95
10/25/2001,2282.5
10/26/2001,2291.8799
10/29/2001,2238.6799
10/30/2001,2199.96
10/31/2001,2202.9199
11/1/2001,2250.5801
11/2/2001,2254.4299
11/5/2001,2286.5601
11/6/2001,2319.6699
11/7/2001,2314.96
11/8/2001,2317.74
11/9/2001,2319.5701
11/12/2001,2317.74
11/13/2001,2362.1001
11/14/2001,2369.76
11/15/2001,2370.1799
11/16/2001,2364.4399
11/19/2001,2391.6599
11/20/2001,2372.6499
11/21/2001,2361.98
11/23/2001,2390.03
11/26/2001,2407.03
11/27/2001,2393.1299
11/28/2001,2349.3401
11/29/2001,2376.3201
11/30/2001,2372.6001
12/3/2001,2352.1699
12/4/2001,2386.4299
12/5/2001,2440.97
12/6/2001,2437.5
12/7/2001,2419.8401
12/10/2001,2383.25
12/11/2001,2377.6001
12/12/2001,2378.0901
12/13/2001,2341.78
12/14/2001,2349
12/17/2001,2373.22
12/18/2001,2393.3899
12/19/2001,2404.1299
12/20/2001,2382.3601
12/21/2001,2395.26
12/24/2001,2395.8701
12/26/2001,2407.01
12/27/2001,2423.6899
12/28/2001,2432.78
12/31/2001,2406.04
1/2/2002,2418.1599
1/3/2002,2442.5701
1/4/2002,2459.8
1/7/2002,2442.45
1/8/2002,2437
1/9/2002,2425.5601
1/10/2002,2427.6599
1/11/2002,2406.4099
1/14/2002,2387.4199
1/15/2002,2403.49
1/16/2002,2365.3999
1/17/2002,2389.78
1/18/2002,2364.8101
1/22/2002,2345.3401
1/23/2002,2367.23
1/24/2002,2376.0801
1/25/2002,2378.8999
1/28/2002,2380.23
1/29/2002,2318.48
1/30/2002,2344.1299
1/31/2002,2375.8701
2/1/2002,2359.47
2/4/2002,2303.3101
2/5/2002,2296.74
2/6/2002,2279.1499
2/7/2002,2270.0701
2/8/2002,2305.6399
2/11/2002,2337.3401
2/12/2002,2330.1001
2/13/2002,2353.6499
2/14/2002,2348.1899
2/15/2002,2322.4399
2/19/2002,2277.97
2/20/2002,2309.2
2/21/2002,2273.0701
2/22/2002,2291.76
2/25/2002,2330.54
2/26/2002,2332.25
2/27/2002,2334.5801
2/28/2002,2327.28
3/1/2002,2380.46
3/4/2002,2428.79
3/5/2002,2415.71
3/6/2002,2450.5801
3/7/2002,2440.0901
3/8/2002,2455.97
3/11/2002,2462.8401
3/12/2002,2456.8201
3/13/2002,2434.3999
3/14/2002,2433.46
3/15/2002,2459.7
3/18/2002,2461
3/19/2002,2470.29
3/20/2002,2432.03
3/21/2002,2439.3899
3/22/2002,2429.48
3/25/2002,2394.1201
3/26/2002,2409.3101
3/27/2002,2422.9199
3/28/2002,2429.3201
4/1/2002,2427.8301
4/2/2002,2405.9199
4/3/2002,2382.49
4/4/2002,2385.0701
4/5/2002,2378.26
4/8/2002,2386.21
4/9/2002,2371.3201
4/10/2002,2399.5601
4/11/2002,2345.6101
4/12/2002,2364.7
4/15/2002,2348.3799
4/16/2002,2402.03
4/17/2002,2396.1201
4/18/2002,2393.6101
4/19/2002,2394.2
4/22/2002,2357.97
4/23/2002,2344.8799
4/24/2002,2329.6699
4/25/2002,2328.1001
4/26/2002,2295.8799
4/29/2002,2274.6399
4/30/2002,2301.8701
5/1/2002,2319.1499
5/2/2002,2315.24
5/3/2002,2292.8701
5/6/2002,2250.1101
5/7/2002,2241.71
5/8/2002,2323.1399
5/9/2002,2289.7
5/10/2002,2252.26
5/13/2002,2291.96
5/14/2002,2342.26
5/15/2002,2332.29
5/16/2002,2340.6599
5/17/2002,2357.8601
5/20/2002,2327.45
5/21/2002,2301.1201
5/22/2002,2311.1499
5/23/2002,2336.1699
5/24/2002,2308.1799
5/28/2002,2291.02
5/29/2002,2276.1599
5/30/2002,2270.95
5/31/2002,2275.2
6/3/2002,2220.1799
6/4/2002,2218.5
6/5/2002,2236.7
6/6/2002,2192.8301
6/7/2002,2194.0701
6/10/2002,2198.79
6/11/2002,2160.51
6/12/2002,2173.05
6/13/2002,2149.4099
6/14/2002,2147.49
6/17/2002,2207.6101
6/18/2002,2208.8
6/19/2002,2173.05
6/20/2002,2142.8
6/21/2002,2109.71
