Date,HFC,CVX,BP,VLO,XOM,ANDV,TOT,RDS.A,WNR,MPC,PSX,CG
1/3/2005,6.7775,50.9,57.12,19.68007313,50.09,14.925,52.80788177,,,,,
1/4/2005,6.675,50.55,56.61,19.68464351,49.75,14.755,52.09852217,,,,,
1/5/2005,6.55,50.88,56.7,19.26873857,49.49,14.625,51.85221675,,,,,
1/6/2005,6.655,51.73,57.25,19.84460695,50.12,14.84,52.01970443,,,,,
1/7/2005,6.5125,51.15,57.23,19.78062157,49.79,14.52,51.56650246,,,,,
1/10/2005,6.6725,51.38,57.18,20.01828154,49.98,14.72,51.57635468,,,,,
1/11/2005,6.775,51.4,57,20.26508227,49.85,14.82,51.7635468,,,,,
1/12/2005,6.76,52.49,57.8,20.73126143,50.59,15.21,52.14285714,,,,,
1/13/2005,6.8825,52.06,57.8,21.46709324,50.55,15.155,51.97044335,,,,,
1/14/2005,6.7275,52.3,57.94,21.94698355,51.07,14.775,52.0591133,,,,,
1/18/2005,6.8425,53.09,57.94,22.36745887,51.5,15.09,52.31527094,,,,,
1/19/2005,6.6925,52.69,58.11,22.2440585,51.05,14.94,51.85714286,,,,,
1/20/2005,6.495,51.96,57.38,21.99268739,50.72,14.845,51.27586207,,,,,
1/21/2005,6.54,51.98,57.55,22.2440585,50.44,15.025,52.07881773,,,,,
1/24/2005,6.43,52.57,58.3,22.3308958,51.13,14.945,52.51231527,,,,,
1/25/2005,6.345,53.04,58.68,22.14808044,51.33,14.835,52.75862069,,,,,
1/26/2005,6.695,53.54,59.9,22.70109689,51.7,15.27,53.43842365,,,,,
1/27/2005,7.07,54.06,60.2,23.39579525,51.75,15.51,53.19211823,,,,,
1/28/2005,7.2175,53.72,59.48,23.16270567,51.27,15.655,52.80788177,,,,,
1/31/2005,7.565,54.4,59.62,23.7797075,51.6,15.92,52.98029557,,,,,
2/1/2005,7.625,55.15,60.51,26.03290676,53.27,16.615,53.85714286,,,,,
2/2/2005,7.92,55.53,60.65,27.02010969,53.93,16.895,54.01477833,,,,,
2/3/2005,8.15,56.24,60.49,27.97531993,54.52,16.54,53.95073892,,,,,
2/4/2005,8.2325,56.74,60.88,27.76051188,55.29,16.22,54.12315271,,,,,
2/7/2005,8.255,56.26,60.77,26.66361974,55.4,15.8,53.61083744,,,,,
2/8/2005,8.2725,56.6,61.03,27.12522852,55.78,16.17,53.85714286,,,,,
2/9/2005,8.295,56.16,60.99,26.8464351,55.54,15.95,53.26108374,,,,,
2/10/2005,8.28,57.4,62.17,27.98903108,56.34,16.53,54.01970443,,,,,
2/11/2005,8.8725,58.16,62.2,28.07586837,56.11,16.655,54.5320197,,,,,
2/14/2005,8.41,58.11,62.25,28.21297989,56.83,16.7,54.86699507,,,,,
2/15/2005,8.3075,58.17,62.46,28.3820841,56.92,16.39,55.37931034,,,,,
2/16/2005,8.3575,59.5,63.27,28.98080439,58.48,17.325,56.01970443,,,,,
2/17/2005,8.4125,58.61,62.99,28.53747715,58.13,16.825,55.8817734,,,,,
2/18/2005,8.58,59.73,63.2,29.8308958,59.41,17.19,56.8226601,,,,,
2/22/2005,8.6075,59.34,63.52,30.36563071,58.25,16.87,56.79802956,,,,,
2/23/2005,8.6375,60.16,63.9,30.69012797,59.42,16.87,57.32019704,,,,,
2/24/2005,8.8725,61.16,63.85,31.46252285,61.13,17.665,57.50738916,,,,,
2/25/2005,9.1125,61.94,65.07,33.31809872,63.26,18.38,58.79310345,,,,,
2/28/2005,9.425,62.08,64.92,32.55941499,63.31,18.465,58.71921182,,,,,
3/1/2005,9.2775,60.94,64.11,31.10603291,62.1,18.085,58.30049261,,,,,
3/2/2005,9.4125,61.57,64.65,31.88756856,62.68,18.085,58.27586207,,,,,
3/3/2005,9.53,61.19,65.43,33.06672761,63.05,18.5,58.74384236,,,,,
3/4/2005,9.66,61.71,66.36,33.75685558,63.57,18.695,59.94581281,,,,,
3/7/2005,9.7225,61.4,65.68,33.27239488,63,18.635,59.31034483,,,,,
3/8/2005,9.7925,61.5,66.25,33.54661792,63.1,18.49,59.76847291,,,,,
3/9/2005,9.4325,59.76,64.65,33.07129799,60.79,18.19,59.36945813,,,,,
3/10/2005,9.0575,58.49,64.18,31.53107861,60.37,17.395,59.18719212,,,,,
3/11/2005,9.32,58.3,64.47,31.50365631,61.05,17.61,59.39901478,,,,,
3/14/2005,9.28,58.94,64.65,30.83638026,61.28,17.52,59.42364532,,,,,
3/15/2005,9.335,58.17,64.21,30.30621572,60.35,16.85,59.27093596,,,,,
3/16/2005,9.2375,58.61,64.37,30.86380256,60.29,17.09,59.408867,,,,,
3/17/2005,9.5,59.45,64.82,31.95155393,61.49,17.4,59.79310345,,,,,
3/18/2005,9.0075,60.38,65.37,31.76416819,62.65,17.605,60.02463054,,,,,
3/21/2005,9.0975,60.02,64.82,31.38482633,62.15,17.525,59.17241379,,,,,
3/22/2005,9.1775,59.17,63.52,31.54936015,60.9,17.42,57.99014778,,,,,
3/23/2005,9.1275,58.42,62.01,32.88848263,60.09,17.755,57.2955665,,,,,
3/24/2005,9.175,58.21,61.71,33.00731261,59,18.13,57.21674877,,,,,
3/28/2005,9.125,58.29,61.47,32.3857404,58.89,17.705,57,,,,,
3/29/2005,8.8,57.89,61.58,31.51736746,58.27,17.2,56.86699507,,,,,
3/30/2005,9.035,58.26,62.3,32.17550274,59.24,17.52,57.33990148,,,,,
3/31/2005,9.3175,58.31,62.4,33.48720293,59.6,18.51,57.74876847,,,,,
4/1/2005,9.63,59.31,62.76,35.5393053,60.55,20.18,57.96551724,,,,,
4/4/2005,9.85,56.98,62.82,35.03199269,60.65,20.18,57.75862069,,,,,
4/5/2005,9.67,55.71,63.05,34.45155393,60.06,19.575,58.02463054,,,,,
4/6/2005,9.8125,57.23,63.26,36.64076782,60.9,20.66,58.45320197,,,,,
4/7/2005,9.71,57.96,63.65,35.89579525,60.85,20.485,58.53694581,,,,,
4/8/2005,9.3375,56.69,63.23,35.2833638,60.01,20.05,57.89162562,,,,,
4/11/2005,9.2225,56.87,63.62,34.95886654,60.29,20.065,58.6453202,,,,,
4/12/2005,8.95,55.74,62.64,34.03564899,60.43,19.54,58.19211823,,,,,
4/13/2005,8.6275,54.27,61.26,33.39122486,59.15,18.675,57.51724138,,,,,
4/14/2005,8.705,53.77,60.62,32.98903108,58.75,18.44,56.591133,,,,,
4/15/2005,8.25,52.21,59.4,30.90036563,56.19,17.505,55.2955665,,,,,
4/18/2005,8.5325,52.6,59.81,32.07952468,57.25,18.11,55.78817734,,,,,
4/19/2005,8.775,53.34,61.15,33.82998172,58.63,19.01,56.23152709,,,,,
4/20/2005,8.5525,52.05,60,33.58775137,57.14,18.515,55.34975369,,,,,
4/21/2005,8.6875,53.35,60.75,34.33729433,59.28,19.41,56.09852217,,,,,
4/22/2005,8.395,53.87,61.06,34.29616088,59.42,19.61,56.44827586,,,,,
4/25/2005,9.1725,54.37,61.6,34.67550274,59.96,20.795,56.89655172,,,,,
4/26/2005,8.8825,53.62,61.44,33.47806216,59.27,20.12,56.53694581,,,,,
4/27/2005,8.74,52,60.46,31.49908592,58.38,19.51,54.84236453,,,,,
4/28/2005,8.46,51.15,60.8,30.85466179,56,19.05,54.78325123,,,,,
4/29/2005,8.5675,52,60.9,31.32084095,57.03,18.97,54.63546798,,,,,
5/2/2005,8.695,53.21,61.23,31.32084095,57.74,19.565,55.03940887,,,,,
5/3/2005,8.545,52.66,60.77,30.07312614,56.5,18.51,55.20197044,,,,,
5/4/2005,8.595,53.01,61.75,30.43875686,57.23,19.465,55.36945813,,,,,
5/5/2005,8.89,53.3,62.1,30.67641682,57.8,20.055,56.13300493,,,,,
5/6/2005,9.1875,52.74,61.82,30.96435101,57.6,19.85,56.0591133,,,,,
5/9/2005,9.305,53.45,61.9,31.37568556,58.01,20.875,56.54187192,,,,,
5/10/2005,9.2675,52.98,61.46,31.03290676,57.23,20.04,55.83743842,,,,,
5/11/2005,9.315,53.4,60.57,30.71297989,57.29,20.635,56.02463054,,,,,
5/12/2005,8.75,52.05,59.2,28.35009141,54.82,19.34,54.36453202,,,,,
5/13/2005,8.76,51.28,58.57,28.27239488,53.7,18.98,53.63054187,,,,,
5/16/2005,8.77,50.51,58.45,27.72394881,53.35,18.515,53.76847291,,,,,
5/17/2005,8.8475,51.47,59.12,28.74771481,53.86,19.05,54.15763547,,,,,
5/18/2005,9,51.45,59.75,28.89396709,53.65,19.06,54.58128079,,,,,
5/19/2005,9.0875,52.16,59.98,30.2285192,54.83,20.12,54.05418719,,,,,
5/20/2005,9.1775,51.72,59.5,29.79433272,54.01,19.85,53.60591133,,,,,
5/23/2005,9.1425,52.57,59.77,30.16453382,54.75,20.105,54.5270936,,,,,
5/24/2005,9.3725,52.65,60.05,30.81352834,55.04,21.485,54.90640394,,,,,
5/25/2005,9.375,53.32,60.7,31.00548446,55.68,21.025,55.07389163,,,,,
5/26/2005,9.535,53.72,61.23,31.38482633,56.22,20.855,55.23152709,,,,,
5/27/2005,9.7125,54.58,61.38,32.2166362,56.8,22.045,55.80295567,,,,,
5/31/2005,9.5575,53.78,60.2,31.36197441,56.2,21.8,54.77339901,,,,,
6/1/2005,9.7225,54.75,61.07,32.58683729,57.15,22.365,55.16256158,,,,,
6/2/2005,9.75,54.97,61.2,32.3308958,57.32,22.355,55.42857143,,,,,
6/3/2005,9.675,55.06,61.33,32.83820841,57.15,23.05,55.12315271,,,,,
6/6/2005,9.745,54.85,61.32,33.16727605,57.6,22.585,55.4729064,,,,,
6/7/2005,9.6075,54.78,61.49,32.45886654,57.45,22.23,55.65024631,,,,,
6/8/2005,9.655,54.83,61.05,32.58226691,56.73,22.22,55.56157635,,,,,
6/9/2005,10.1,56.01,62.19,33.70658135,58.44,23.58,56.15763547,,,,,
6/10/2005,10.35,56.3,62.17,33.86197441,58.38,23.375,56.00492611,,,,,
6/13/2005,10.5525,56.01,62.4,33.6654479,58.45,23.395,56.61083744,,,,,
6/14/2005,10.9375,56.13,62.73,33.99908592,58.55,23.57,56.80295567,,,,,
6/15/2005,11.0725,56.84,62.76,34.70749543,59.25,23.985,56.83251232,,,,,
6/16/2005,11.2375,57.92,63.27,35.05027422,60.12,24.125,57.26600985,,,,,
6/17/2005,11.2625,58.97,64.67,36.54021938,60.89,24.715,59.01477833,,,,,
6/20/2005,11.4125,59.34,64.7,36.99725777,60.85,24.26,58.39408867,,,,,
6/21/2005,11.18,58.78,63.78,36.12431444,59.51,23.525,57.81280788,,,,,
